docid	title_snippet
B1	shiprocket s new businesses grow as logistics firm eyes ipo shiprockets emerging tech businesses drive growth as the logistics firm prepares for a ipo
B2	shiprocket ipo decoded smaller issue bumper exits key risks and the road ahead the logisticstech company has cut its ipo size by percent while early backers are looking at returns ranging from
B3	shiprockets rs crore ipo rewards early backers dents returns for latestage investors shiprocket has announced an ipo price range set between rs and rs per share representing a notable decrease of around
B4	ipo gmps dhoot transmission molbio diagnostics shiprocket behari lal engg to milky mist what grey market signals these five mainboard upcoming ipos are going to hit the indian primary market next week
B5	ipo rush dhoot milky mist shiprocket lead mainboard issues smes listings check price band dates gmp dhoot transmission milky mist molbio diagnostics shiprocket and behari lal engineering among mainboard ipos along with
B6	shiprocket cuts ipo size lowers valuation expectations as it readies for rs public issue the gurugrambased ecommerce enablement platform has reduced the size of its initial public offering by from rs
B7	juniper green shiprocket ipos buy hold or sell expert view for investors juniper green energy has already made its stockmarket debut shiprocket is knocking on the doors of dalal street
B8	shiprocket crosses rs cr revenue in loss rises to rs cr logistics and ecommerce enablement platform shiprocket crossed the rs crore revenue mark in with operating
